N,P,K,temperature,humidity,ph,rainfall,label,N_to_P_ratio,N_to_K_ratio,P_to_K_ratio,NPK_sum,NPK_product,N_dominance,P_dominance,K_dominance,temp_humidity_interaction,climate_index,heat_stress_index,ph_squared,ph_deviation,N_ph_interaction,P_ph_interaction,K_ph_interaction,water_stress_index,moisture_index,rainfall_per_temp,water_availability,growing_condition_index,resource_availability,environmental_stress,nutrient_balance,temp_category_Hot,temp_category_Moderate,humidity_category_Low,humidity_category_Medium,ph_category_Alkaline,ph_category_Neutral,rainfall_category_Low,rainfall_category_Medium
90,42,43,20.87974371,82.00274423,6.502985292000001,202.9355362,rice,2.1428566326531824,2.093022769064472,0.9767439588967537,175,162540,0.5142856848979609,0.23999998628571506,0.24571427167347018,1712.1962830390814,0.3424392566078162,0.25155486006754646,42.288817707968335,0.49701470799999914,585.26867628,273.12538226400005,279.62836755600006,0.10238403810860698,166.41270870186506,9.275041741336741,0.41603177175466266,47.55958489994437,377.9355362,21.1839699447,2.86885247245364,False,True,False,False,False,True,False,False
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,rice,1.4655169887039674,2.073170226056042,1.4146338013088289,184,202130,0.4619564966327991,0.3152173741729688,0.22282607484640898,1748.5957343980754,0.3497191468796151,0.26771467013041556,49.53480038672144,0.03809636100000002,598.238190685,408.209588938,288.561950801,0.09562895740923015,182.0489209272913,9.95392805318213,0.4551223023182282,67.432886337758,410.65553739999996,21.97678933945,4.099821677374568,False,True,False,False,False,True,False,False
60,55,44,23.00445915,82.3207629,7.840207144,263.9642476,rice,1.0909088925620194,1.3636360537190786,1.2499997159091554,159,145200,0.37735846683280083,0.3459119279300674,0.27672954234405395,1893.7446273298856,0.3787489254659771,0.2760951574292414,61.468848060828634,0.8402071439999999,470.41242864,431.21139292,344.969114336,0.08682099324105189,217.29738240756498,10.996467195970963,0.5432434560189124,94.0605675672255,422.9642476,23.391303307,9.386070951159462,False,True,False,False,True,False,False,False
74,35,40,26.49109635,80.15836264,6.980400905,242.8640342,rice,2.114285110204254,1.8499995375001155,0.8749997812500546,149,103600,0.49664426197018374,0.23489931309400583,0.26845635782172095,2123.4829079544807,0.42469658159089607,0.3264124051825499,48.72599679452482,0.019599095000000233,516.54966697,244.314031675,279.21603619999996,0.10863059998537497,194.67583325616962,8.834279692159312,0.4866895831404241,95.60185659487406,391.8640342,26.69441249735,3.1919451539369215,False,True,False,False,False,True,False,False
78,42,42,20.13017482,81.60487287,7.628472891,262.7173405,rice,1.8571424149660916,1.8571424149660916,0.9999997619048185,162,137592,0.4814814517604042,0.2592592432556023,0.2592592432556023,1642.720357036975,0.328544071407395,0.2436923406646967,58.1935986487219,0.6284728910000004,595.020885498,320.395861422,320.395861422,0.07633238975424902,214.39015172246997,12.433278131297541,0.5359753793061749,48.942309949358624,424.7173405,20.47124431405,3.534031385058892,False,True,False,False,True,False,False,False
69,37,42,23.05804872,83.37011772,7.073453503,251.0549998,rice,1.86486436084747,1.6428567517007733,0.880952171201864,148,107226,0.46621618471512266,0.24999998310810925,0.28378376460920507,1922.352236179895,0.384470447235979,0.273296391460813,50.03374445910297,0.07345350299999964,488.06829170699996,261.71777961099997,297.085047126,0.09148022748327168,209.30484887520575,10.435384960846484,0.5232621221880144,85.37388785386234,399.0549998,23.24271091855,3.9614560311386686,False,True,False,False,False,True,False,False
69,55,38,22.70883798,82.63941394,5.70080568,271.3248604,rice,1.2545452264463224,1.8157889958450009,1.4473680401663052,162,144210,0.42592589963420374,0.3395061518823363,0.2345678867550687,1876.6450619256132,0.3753290123851227,0.27150881277444777,32.499185401120265,1.2991943199999998,393.35559192,313.5443124,216.63061584000002,0.08338878039501971,224.2212745080831,11.444038743226503,0.5605531862702078,93.1086771072162,433.3248604,23.207242420599997,5.2393281957864115,False,True,False,False,False,True,False,False
94,53,40,20.27774362,82.89408619,5.718627177999999,241.9741949,rice,1.773584571021779,2.349999412500147,1.3249996687500827,187,199280,0.5026737699104936,0.28342244473676764,0.21390373187680578,1680.9050273750024,0.33618100547500046,0.24170647230218076,32.70269680096023,1.2813728220000007,537.5509547319999,303.08724043399997,228.74508711999997,0.08345636716008314,200.58229767796456,11.37217362994056,0.5014557441949115,56.20165588310634,428.9741949,20.769145963599996,3.073635768645061,False,True,False,False,False,True,False,False
89,54,38,24.51588066,83.53521629999999,6.685346424,230.4462359,rice,1.6481478429355845,2.3421046468145663,1.4210522576178268,181,182628,0.49171268001587404,0.29834252495345165,0.20994473978205858,2047.9393937180864,0.4095878787436173,0.29000790123961634,44.693856808889585,0.31465357600000043,594.995831736,361.008706896,254.04316411199997,0.10592473264759628,192.50376161427323,9.031482744832685,0.48125940403568307,201.91380897501506,411.44623590000003,24.759191891,3.295702830548997,False,True,False,False,False,True,False,False
68,58,38,23.22397386,83.03322691,6.336253525,221.2091958,rice,1.1724135909631739,1.7894732132965228,1.52631538781174,164,149872,0.414634121058895,0.35365851502082224,0.23170730294467665,1928.3614912692885,0.38567229825385774,0.2763665601568888,40.14810873307493,0.663746475,430.8652397,367.50270445,240.77763395,0.10451400886623433,183.67713349440018,9.131829363689711,0.45919283373600045,91.74948130912352,385.2091958,23.55957820965,5.08684948186378,False,True,False,False,False,True,False,False
